Time (ms),Position Data for Clock Game(mm)
,x,y,z
3041.199,39.1850776672,109.912597656,141.261428833,
3049.894,37.7751159668,111.970184326,137.612411499,
3058.59,36.6578903198,113.727058411,134.555175781,
3067.286,35.3427734375,115.411727905,131.34211731,
3075.981,34.117767334,117.224243164,128.363311768,
3084.677,32.7923812866,119.05532074,125.327186584,
3093.372,31.3240356445,120.887969971,122.263633728,
3102.068,29.6961898804,122.808601379,119.113349915,
3110.764,28.1344032288,124.72227478,116.043403625,
3119.459,26.5114688873,126.771652222,112.889503479,
3128.155,25.0334968567,128.919250488,110.000526428,
3136.85,23.5017871857,131.26322937,107.10483551,
3145.546,21.885137558,133.886047363,104.367729187,
3154.242,20.0356197357,136.785232544,101.621757507,
3162.937,18.0768280029,139.850479126,99.1159820557,
3171.633,16.075504303,142.991348267,96.910987854,
3180.328,14.013343811,146.091186523,94.9527435303,
3189.024,11.9226360321,148.926040649,93.2062988281,
3197.72,9.79985237122,151.584915161,91.6572189331,
3223.806,5.38280391693,157.685058594,88.0890045166,
3232.502,2.80613183975,161.118041992,86.5847473145,
3241.198,0.730114936829,164.437225342,85.3287353516,
3249.893,-1.10340869427,167.724945068,84.1079559326,9.02154350281,143.521987915,171.729644775,
3258.589,-2.73486590385,170.922744751,83.1310424805,
3267.284,-4.31377029419,174.152389526,82.326965332,
3275.98,-5.91155719757,177.37272644,81.5578155518,
3284.676,-7.6184387207,180.431045532,80.6210403442,
3293.371,-9.11855697632,183.285232544,80.2332305908,
3302.067,-10.6543045044,185.981781006,79.7886352539,
3310.762,-12.1624479294,188.528594971,79.5223236084,
3319.458,-13.6918411255,191.281478882,79.4250106812,
3328.154,-15.2306022644,193.951263428,79.3223876953,
3336.849,-16.7107944489,196.635513306,79.0983200073,
3345.545,-18.0166244507,199.251281738,79.0080032349,
3354.24,-19.2719135284,202.074157715,78.8657836914,
3362.936,-20.4107265472,204.867477417,78.7707366943,
3371.632,-21.4143848419,207.631896973,78.7082519531,
3380.327,-22.4265422821,210.516983032,78.4294967651,
3389.023,-23.211057663,212.960754395,78.2152786255,
3397.718,-23.9474411011,215.527893066,78.033821106,
3406.414,-24.6718521118,218.098907471,77.8706588745,
3415.11,-25.3312740326,220.419174194,77.6532211304,
3423.805,-26.0376758575,222.804718018,77.4147033691,
3432.501,-26.7431182861,224.964660645,77.2186584473,
3441.196,-27.4185600281,226.971069336,77.030418396,
3449.892,-28.0823364258,228.949005127,76.9018936157,
