Time (ms),Position Data for Clock Game(mm)
,x,y,z
809.705,-3.71068072319,174.538101196,177.037796021,
844.453,-8.02438926697,181.081634521,175.571502686,
853.149,-10.7774829865,185.11366272,174.612991333,
861.844,-13.4653129578,188.916687012,173.41758728,111.427375793,155.225006104,253.501434326,
870.54,-15.6562585831,192.007339478,172.498428345,109.96799469,156.754074097,252.079162598,
879.236,-17.7379112244,194.860778809,171.478027344,108.458602905,156.676696777,250.078887939,
887.931,-19.4041442871,197.430419922,170.871459961,106.672691345,157.01612854,248.278060913,
896.627,-21.0161113739,200.215698242,170.686737061,105.456016541,157.592575073,247.166732788,
905.322,-22.7390632629,203.02784729,170.198608398,104.653320312,158.733810425,246.847396851,
914.018,-24.4916152954,205.971801758,169.857009888,
922.714,-26.4689407349,208.801055908,168.775146484,
931.409,-28.0436859131,211.564605713,168.563293457,
940.105,-29.7254943848,214.295501709,168.105056763,
948.8,-31.6664772034,216.910614014,166.868240356,
957.496,-33.012714386,218.906097412,166.477035522,
966.192,-34.4930419922,221.285232544,166.16986084,
974.887,-36.0630531311,223.343307495,165.124145508,
983.583,-37.4029273987,225.454086304,164.641906738,
992.278,-38.7318611145,227.582077026,164.129898071,
1000.974,-39.9887542725,229.75189209,163.613174438,
1009.67,-41.463344574,231.848098755,162.512237549,
1018.365,-42.539276123,233.740188599,161.838729858,
1027.061,-43.6227912903,235.679504395,161.041717529,
1035.756,-44.5931434631,237.607757568,160.357696533,
1044.452,-45.4955215454,239.528625488,159.623596191,
1053.148,-46.3395385742,241.14151001,158.507888794,
1061.843,-47.172164917,242.912719727,157.40032959,
1070.539,-47.7899436951,244.584213257,156.513046265,
1079.234,-48.5792160034,246.317337036,155.152359009,
1087.93,-49.0434303284,248.123382568,154.397140503,
1096.626,-49.3140830994,249.821640015,153.640731812,
1105.321,-49.4600257874,251.125045776,152.426055908,
1114.017,-49.7535057068,252.873718262,151.213119507,
1122.712,-49.542930603,254.096466064,150.352905273,
1131.408,-49.5324401855,255.860275269,149.489013672,
1140.104,-49.2305221558,257.163330078,148.624450684,
1148.799,-48.9520759583,258.425506592,147.621276855,
1157.495,-48.5034599304,259.676696777,146.895233154,
1166.19,-48.0938148499,260.63760376,145.873916626,
1174.886,-47.860168457,261.731903076,144.658279419,
1183.582,-47.312461853,262.628753662,143.925994873,
1192.277,-46.8561935425,263.488037109,143.26713562,
