Time (ms),Position Data for Clock Game(mm)
,x,y,z
3859.869,-57.0386352539,248.332443237,83.1179656982,
3868.57,-58.1674003601,249.631958008,83.5038452148,
3877.27,-59.2455215454,250.991363525,84.0916137695,
3885.971,-60.3373146057,252.368240356,84.6471786499,
3894.671,-61.3491783142,253.714599609,85.1853866577,
3903.372,-62.3322525024,254.947479248,85.3546447754,
3912.073,-63.2325744629,256.144836426,85.9432678223,
3920.773,-64.0445327759,257.068603516,86.3981323242,
3929.474,-64.9511795044,258.089080811,86.6994171143,
3938.174,-65.7843475342,258.953613281,87.2995605469,
3946.875,-66.602684021,259.674560547,87.6488418579,
3955.576,-67.4994354248,260.710205078,88.1353149414,
3964.276,-68.3809509277,261.469146729,88.0597305298,
3972.977,-69.1032791138,262.073272705,88.7026824951,
3981.677,-69.881477356,262.983398438,89.3744277954,
3990.378,-70.4828796387,263.446380615,89.7717285156,
3999.079,-71.1480865479,264.235748291,89.9948883057,
4007.779,-71.6982421875,264.833862305,90.1821594238,
4016.48,-72.3324813843,265.680053711,90.4241943359,
4025.18,-72.878616333,266.347717285,90.7175369263,
4033.881,-73.4535446167,266.940643311,90.9825439453,
4042.582,-74.0258102417,267.683074951,91.3577575684,
4051.282,-74.5141830444,268.202575684,91.8366699219,
4059.983,-75.0659561157,268.88092041,92.1970825195,
4068.683,-75.5294876099,269.389801025,92.546295166,
4077.384,-76.05027771,270.00289917,92.8531036377,
4086.085,-76.4568634033,270.565490723,93.3088531494,
4094.785,-77.0017700195,271.410949707,93.6026535034,
4103.486,-77.4668426514,272.096038818,94.006477356,
4112.186,-77.8093795776,272.291992188,94.2308578491,
4120.887,-78.2673568726,272.7762146,94.6069412231,
4129.588,-78.7208709717,273.088439941,94.6472930908,
4138.288,-79.1318511963,273.29473877,94.9147338867,
4146.989,-79.6517486572,273.937286377,95.4980239868,
4155.689,-80.1736907959,274.445220947,95.6942062378,
4164.39,-80.7542648315,274.97869873,95.6487350464,
4173.091,-81.2877044678,275.593109131,95.7128219604,
4181.791,-81.5654983521,275.785430908,95.9585723877,
4190.492,-81.9130935669,276.46472168,96.248878479,
4199.192,-82.1406326294,276.889434814,96.5205612183,
4207.893,-82.4161758423,277.428894043,96.7464370728,
4216.594,-82.5061187744,277.636688232,97.001411438,
4225.294,-82.6156616211,277.884338379,97.1174545288,
4233.995,-82.9166030884,278.441497803,96.9955291748,
4242.695,-83.1050949097,278.701416016,97.2190628052,
4251.396,-83.2773971558,278.915618896,97.3738861084,
4260.097,-83.4563293457,279.040313721,97.6273345947,
4268.797,-83.6246032715,279.126953125,97.8119506836,
4277.498,-83.7015228271,278.944671631,98.0535964966,
4286.198,-83.7869873047,278.853912354,98.3115005493,
4294.899,-83.8448867798,278.709716797,98.4780807495,
4303.6,-83.9697875977,278.736114502,98.634513855,
4312.3,-84.2134780884,278.959320068,98.3257217407,
4321.001,-84.2629547119,279.007080078,98.6943283081,
4329.701,-84.3440246582,279.104736328,98.8875350952,
4338.402,-84.4343490601,279.224273682,99.0683288574,
4347.103,-84.325630188,278.78515625,99.2098770142,
4355.803,-84.4817886353,278.795654297,98.9380340576,
4364.504,-84.4968566895,278.720275879,99.005531311,
4373.204,-84.5758895874,278.724639893,99.0516738892,
4381.905,-84.552734375,278.694854736,99.2043380737,
4390.606,-84.477355957,278.536376953,99.1520385742,
4399.306,-84.2732162476,278.270202637,99.0712890625,
4408.007,-83.9377746582,277.771942139,98.9658966064,
4416.707,-83.8130340576,277.83303833,98.6145324707,
4425.408,-83.4984970093,277.593414307,98.6446228027,
4434.109,-83.2970504761,277.817779541,98.576751709,
4442.809,-82.9288711548,277.463500977,98.4263916016,
4468.911,-82.4922332764,277.043212891,98.1965713501,
4477.612,-82.1170196533,276.84375,97.9712600708,
4486.312,-81.8632125854,276.7371521,97.484046936,
4495.013,-81.5028381348,276.391052246,97.4041290283,
4503.713,-81.3831634521,276.421234131,96.8650283813,
4512.414,-81.1017532349,276.248504639,96.8977890015,
4521.115,-80.7965087891,276.002593994,96.7926712036,
4529.815,-80.5448684692,275.897674561,96.7535171509,
4538.516,-80.2891387939,275.725494385,96.4890213013,
4547.216,-79.9275512695,275.3878479,96.3611068726,
4555.917,-79.5101242065,274.92565918,96.2342224121,
4564.618,-79.168762207,274.878753662,96.0178833008,
4573.318,-78.6716308594,274.556152344,95.818572998,
4582.019,-78.1569213867,274.264648438,95.5014724731,
4590.719,-77.4497909546,273.653137207,95.3137359619,
4599.42,-76.8754806519,273.557830811,95.049369812,
4608.121,-76.1633605957,273.416351318,94.606842041,
4616.821,-75.2722702026,272.961700439,94.2710571289,
4625.522,-74.3966217041,272.930175781,93.9106826782,
4634.222,-73.4180755615,272.87713623,93.4456558228,
4642.923,-72.372756958,272.834503174,92.7437744141,
4651.624,-71.1577682495,272.885559082,92.2691726685,
4660.324,-69.8379440308,272.777374268,91.672958374,
4669.025,-68.407371521,272.75567627,91.0779495239,
4677.725,-66.8510971069,272.659118652,90.2590255737,
