Time (ms),Position Data for Clock Game(mm)
,x,y,z
1859.029,65.6087493896,150.197982788,200.360992432,
1903.511,55.8617744446,166.999649048,195.675521851,
1938.261,50.492641449,173.309997559,191.602035522,
1946.956,46.7130355835,177.447036743,188.905929565,
1955.652,43.4791297913,181.073654175,186.824447632,
1964.347,40.4499588013,184.485275269,185.015670776,
1973.043,37.6371803284,187.796432495,183.243301392,
1981.739,35.106842041,191.470092773,181.907073975,
1990.434,32.5560874939,195.270309448,180.328308105,
1999.13,30.1132335663,199.012832642,178.552581787,
2007.825,27.9210662842,202.684265137,177.074951172,
2016.521,25.7297706604,206.510635376,175.711074829,
2025.217,23.5470504761,210.243545532,174.311645508,
2033.912,21.5203056335,213.56237793,173.233520508,
2042.608,19.6167678833,216.822219849,172.555175781,
2051.303,17.6660175323,220.11781311,171.848266602,
2059.999,15.6947832108,223.381317139,171.154830933,
2068.695,13.7282600403,226.683807373,170.515426636,
2077.39,12.0279569626,229.653808594,169.816650391,
2086.086,10.4860839844,232.846481323,169.180389404,
2094.781,9.03828430176,236.155410767,168.492462158,
2103.477,7.72875165939,239.68788147,168.028945923,
2112.173,6.41341781616,242.800598145,167.256164551,
2120.868,5.06327772141,245.854217529,166.73274231,
2129.564,3.45046758652,248.448730469,165.664672852,
2138.259,2.09905290604,250.667449951,165.212875366,
2146.955,0.605998873711,252.514541626,164.679855347,
2155.651,-0.891722500324,254.163848877,164.361160278,
2164.346,-2.3356525898,255.626052856,164.293426514,
2173.042,-3.75031280518,256.747528076,164.20425415,
2181.737,-5.02631378174,257.882843018,164.091995239,
2190.433,-6.14698028564,259.132507324,164.069580078,
2199.129,-7.15215873718,260.421875,163.930252075,
2207.824,-8.0506772995,261.821136475,163.78503418,
2216.52,-8.81749534607,263.189300537,163.699737549,
2225.215,-9.57181072235,264.535827637,163.566986084,20.8111114502,227.248565674,244.045852661,
2233.911,-10.1788139343,265.430541992,163.318634033,19.6247272491,225.624908447,242.302841187,
2242.607,-10.814037323,266.114044189,162.902786255,
2251.302,-11.2687149048,266.545837402,162.618881226,
2259.998,-11.6809406281,267.241424561,162.53553772,
2268.693,-11.9907979965,267.34677124,162.242630005,
2277.389,-12.2733545303,267.397674561,161.962020874,
2286.085,-12.6712379456,267.473937988,161.317367554,
2294.78,-12.8478631973,267.545806885,161.187652588,10.5168190002,236.997665405,245.742385864,
2303.476,-13.1119709015,268.010986328,161.003875732,10.3714780807,236.618362427,245.246368408,
2312.171,-13.2361307144,267.870513916,160.653503418,10.1509189606,236.947036743,245.345962524,
2320.867,-13.2829027176,267.624664307,160.270797729,
2329.563,-13.600069046,267.724578857,159.614425659,
2338.258,-13.6260919571,267.78729248,159.337844849,
2346.954,-13.6282644272,267.791259766,158.957214355,9.19997406006,238.905929565,244.826446533,
2355.649,-13.5051965714,267.582702637,158.627548218,
2364.345,-13.3770837784,267.379852295,158.182861328,
2373.041,-13.1092042923,266.936096191,157.703659058,
2381.736,-12.8603830338,266.423431396,156.935302734,
2390.432,-12.5485343933,266.130493164,156.337509155,
2399.127,-12.1893959045,266.08807373,155.913375854,9.59629058838,237.900543213,240.901550293,
2407.823,-11.8581237793,265.791168213,155.099227905,9.64873313904,238.003631592,240.479431152,
2416.519,-11.7262048721,265.85559082,154.24559021,9.81693840027,238.195114136,240.272994995,
2425.214,-11.3695793152,265.798675537,153.586227417,9.82434082031,237.793609619,239.476272583,
2433.91,-10.9586801529,265.700408936,153.043731689,9.84117984772,238.169036865,239.248779297,
2442.605,-10.7024536133,265.717926025,152.148574829,
2451.306,-10.5523834229,265.963653564,151.420532227,
2460.007,-10.0538883209,265.619659424,150.974487305,
2468.707,-9.63081932068,265.308746338,150.513015747,
2477.408,-9.14801883698,265.091247559,150.217987061,
2486.108,-8.70632839203,264.902557373,149.832336426,
2494.809,-8.14166069031,264.220367432,149.328170776,12.3731298447,237.398330688,235.89225769,
2503.51,-7.67943429947,264.280151367,149.127120972,12.4463071823,237.600784302,235.875335693,
2512.21,-7.2306394577,264.149749756,148.6925354,
2520.911,-6.70895576477,263.948577881,148.340881348,
2529.611,-6.213347435,263.914703369,148.059463501,
2538.312,-5.87169075012,264.272003174,147.668762207,
2547.013,-5.43672800064,264.163543701,147.404327393,
2555.713,-5.07361078262,264.102264404,147.284988403,14.0180282593,238.074554443,234.842086792,
2564.414,-4.76924037933,264.107849121,146.929824829,14.1549930573,237.396881104,233.998672485,
2573.114,-4.57167100906,264.08782959,146.437255859,14.5823526382,237.133605957,233.908782959,
2581.815,-4.39903497696,264.147247314,146.152801514,
2590.516,-3.88466501236,263.780944824,146.221359253,
2599.216,-3.44154572487,263.608886719,146.174972534,
2607.917,-3.14276337624,263.498352051,145.7605896,
2616.617,-2.61392641068,263.456481934,145.77494812,16.5064735413,235.585418701,231.875289917,
2625.318,-2.12503457069,263.550964355,145.55531311,16.7082023621,235.648681641,231.824111938,
2634.019,-1.58632981777,263.58203125,145.385421753,
2642.719,-1.01438558102,263.211151123,145.080657959,
2651.42,-0.478005290031,262.932861328,144.905273438,
2660.12,-0.0362479016185,262.868347168,144.707077026,
2668.821,0.36553171277,262.609069824,144.455200195,18.4108905792,234.561355591,229.344604492,
2677.522,0.575125217438,262.677947998,144.248596191,18.4616107941,234.500259399,229.104537964,
2686.222,0.722733974457,262.562805176,143.512420654,18.6531715393,233.856948853,228.567687988,
2694.923,1.13210129738,262.688873291,143.625183105,18.6598396301,233.814407349,228.26763916,
2703.623,1.53974580765,262.49395752,143.525009155,18.8358192444,233.961029053,228.278930664,
2712.324,1.96565818787,262.549285889,143.442504883,
2721.025,2.37488126755,262.685668945,143.28742981,
2729.725,2.75679087639,263.120880127,143.127380371,
2738.426,3.13930010796,263.425170898,142.832595825,20.342628479,235.073455811,227.526748657,
2747.126,3.52651810646,263.59866333,142.551223755,20.2656650543,236.139846802,228.191543579,
2773.228,4.46612501144,263.956695557,141.580459595,20.2663784027,236.542770386,227.978927612,
2781.929,4.64849996567,264.566802979,140.939743042,20.2912025452,236.683029175,227.503692627,
2790.629,4.94381427765,264.557769775,140.392456055,20.4258270264,236.308334351,226.684753418,
2799.33,5.38797235489,264.860931396,140.282546997,
2808.031,5.7869052887,264.911682129,139.970031738,
2816.731,6.18608617783,265.138305664,139.643341064,
2825.432,6.61501932144,265.4140625,139.301498413,22.037902832,238.090209961,224.158432007,
2834.132,7.02347326279,265.543884277,138.795272827,22.146648407,238.132827759,223.992111206,
2842.833,7.47497177124,265.838806152,138.415237427,22.0756950378,238.38583374,223.817810059,
2851.534,7.93546247482,266.010986328,137.984039307,22.1754264832,238.897262573,223.928726196,
2860.234,8.38436603546,266.377075195,137.573547363,22.276260376,239.144134521,223.799636841,
2868.935,8.83763885498,266.778717041,137.234527588,22.4048919678,239.132507324,223.367141724,
2877.635,9.2407579422,266.680999756,136.650192261,22.409412384,239.525665283,223.125335693,
2886.336,9.60322475433,266.938201904,136.222717285,22.6801815033,239.839447021,223.082443237,
2895.037,9.9401140213,267.183349609,135.926422119,22.8602714539,240.034912109,222.817672729,
