Time (ms),Position Data for Clock Game(mm)
,x,y,z
835.35,19.2056713104,154.918319702,182.712722778,
870.099,19.55027771,157.797515869,181.994537354,
878.794,19.4568099976,159.796554565,180.971511841,
887.49,19.5492401123,161.668106079,180.590698242,
896.186,19.7073879242,163.190338135,180.587051392,
904.881,19.9981613159,164.395324707,180.886276245,
913.577,19.5780677795,165.578430176,180.681793213,
922.272,18.9643039703,166.396087646,180.25819397,
930.968,18.9321689606,166.74180603,180.69442749,
939.664,18.9204006195,167.048660278,181.391708374,
948.359,18.2980709076,167.62789917,181.718887329,
957.055,18.0869216919,167.689743042,182.476699829,
965.75,17.8975372314,167.68812561,183.306289673,
974.446,17.6697731018,167.538833618,184.051467896,
983.142,17.3989162445,166.999420166,184.544784546,
991.837,16.6233272552,166.838699341,184.784500122,
1000.533,16.1430397034,166.515686035,185.280609131,
1009.228,15.7486896515,166.270645142,186.02432251,
1017.924,15.1684207916,165.77116394,186.362182617,
1026.62,14.3809270859,165.400238037,186.573654175,
1035.315,13.9570217133,165.076477051,187.316635132,
1044.011,13.5541181564,164.457687378,187.90322876,
1052.706,13.232339859,163.763687134,188.551300049,
1061.402,12.7178945541,163.330459595,189.155426025,
1070.098,12.6220664978,162.592178345,189.87071228,
1078.793,12.6742353439,161.958984375,190.732574463,
1087.489,12.72706604,161.292770386,191.370925903,
1096.184,12.3310785294,160.770721436,191.36907959,
1104.88,12.5934143066,160.393875122,192.174621582,
1113.576,12.770983696,159.999404907,192.686828613,
1122.271,13.1664972305,159.46081543,193.192260742,
1130.967,13.4981927872,158.99949646,193.630355835,
1139.662,13.6164340973,158.609817505,193.728622437,
1148.358,13.7499027252,158.530593872,194.168746948,
1157.054,13.4903001785,158.459686279,194.099456787,
1165.749,13.2218122482,158.866012573,194.437316895,
1174.445,13.3873376846,158.976013184,194.739776611,
1183.14,13.2419786453,159.660934448,195.291488647,
1191.836,12.9544744492,160.168411255,195.452011108,
1200.532,13.1260490417,160.851104736,196.070449829,
1209.227,12.9209547043,161.03565979,196.068664551,
1217.923,13.1823215485,161.005859375,196.391906738,
1226.618,13.7855291367,160.693817139,196.85244751,
1235.314,15.06245327,159.888687134,197.549041748,
1244.01,17.2066268921,158.299697876,198.873474121,
1252.705,19.8611507416,156.210968018,199.779800415,
1261.401,23.1152324677,153.501296997,199.960723877,
1270.096,26.5754871368,150.294555664,199.408401489,
1278.792,30.7395038605,146.666900635,198.28175354,
1287.488,35.2305831909,142.13710022,195.578933716,
1296.183,40.6204833984,139.008544922,193.965179443,
1304.879,45.7581214905,134.859069824,190.039276123,
1313.574,86.1941604614,135.431808472,176.086349487,51.9063796997,131.463882446,184.940155029,
1322.27,93.1488418579,135.067871094,173.573745728,
1330.966,93.034286499,138.004440308,172.259155273,
1339.661,94.8530044556,139.377349854,170.000213623,
1348.357,97.8814315796,140.236999512,167.246643066,
1357.052,101.712203979,139.823394775,163.73538208,
1365.748,149.587173462,121.75629425,133.965805054,107.684738159,140.420761108,161.329864502,
1374.444,153.93913269,120.848442078,130.613052368,
1383.144,154.679718018,121.344436646,129.526733398,
1391.845,156.207595825,120.965988159,127.433387756,
1400.545,158.699172974,119.84438324,124.882164001,
1409.246,161.290328979,118.422569275,122.013748169,
3457.102,104.598182678,116.197891235,136.508712769,
3491.851,97.6583633423,121.635803223,133.380386353,
3500.547,92.7821350098,125.399673462,131.054199219,
3509.242,88.3410110474,128.841934204,128.967971802,
3517.938,83.9698791504,132.060974121,126.890197754,
3526.634,79.682472229,135.077133179,124.971298218,
3535.329,75.2929611206,137.97706604,123.053253174,
3544.025,70.7694244385,140.762557983,121.189094543,
3552.72,66.1964035034,143.635284424,119.480232239,
3561.416,61.6860694885,146.456298828,117.8695755,
3570.112,57.3387336731,149.191116333,116.159439087,
3578.807,53.3070907593,152.181488037,114.381347656,
3587.503,49.5641021729,155.320907593,112.362930298,
3596.198,46.0967941284,158.505645752,110.137290955,
3604.894,42.8755073547,161.801452637,107.854728699,
3613.59,39.8190612793,165.116073608,105.413421631,
3622.285,37.0333786011,168.348083496,102.894546509,
3630.981,34.4161071777,171.405303955,100.170646667,
3639.676,32.0755653381,174.248901367,97.4929656982,
3648.372,29.9306678772,176.982513428,94.8637771606,
3657.068,27.7863426208,179.456237793,92.1846389771,
3665.763,25.6674938202,181.862762451,89.5982131958,
3674.459,23.6405544281,184.291168213,87.061126709,
3683.154,21.7357692719,186.715026855,84.5742340088,
3691.85,20.0345363617,189.125488281,82.3416137695,37.2421722412,164.249847412,165.090301514,
3700.546,18.4713859558,191.368270874,80.1746063232,36.3173980713,165.458175659,164.228347778,
3709.241,16.9903240204,193.698730469,78.0864639282,35.38671875,166.582015991,163.258804321,
3717.937,15.7398424149,195.897598267,76.1582565308,34.608997345,167.770935059,162.219146729,
3726.632,14.6750774384,198.172851562,74.190071106,33.7921981812,169.152542114,161.169952393,
3735.328,13.8161373138,200.288040161,72.3054122925,33.0092697144,170.523757935,160.040313721,
